Computation of population skweness started
Started writing results to file: sin_function_timing1.csv
average: 154.384106522498060
 population_value: 128.310136211339340, index i: 2, index j: 56, accumulated_mean: 30.946820442349566  
 population_value: 150.499107135104790, index i: 2, index j: 57, accumulated_mean: 30.946813048668513  
 population_value: 151.463845001355480, index i: 2, index j: 58, accumulated_mean: 30.946808871391379  
 population_value: 119.627495415083300, index i: 2, index j: 59, accumulated_mean: 30.946215851292727  
 population_value: 150.499107135104790, index i: 2, index j: 60, accumulated_mean: 30.946208457852165  
 population_value: 118.662757548832630, index i: 2, index j: 61, accumulated_mean: 30.945582039218465  
 population_value: 150.499107135104790, index i: 2, index j: 62, accumulated_mean: 30.945574646030007  
 population_value: 151.463845001355480, index i: 2, index j: 63, accumulated_mean: 30.945570469031185  
 population_value: 126.380660478838000, index i: 2, index j: 64, accumulated_mean: 30.945185709556586  
 population_value: 118.662757548832630, index i: 2, index j: 65, accumulated_mean: 30.944559325361961  
 population_value: 156.287534332608830, index i: 2, index j: 66, accumulated_mean: 30.944557551476429  
 population_value: 150.499107135104790, index i: 2, index j: 67, accumulated_mean: 30.944550158695488  
 population_value: 151.463845001355480, index i: 2, index j: 68, accumulated_mean: 30.944545981926918  
 population_value: 150.499107135104790, index i: 2, index j: 69, accumulated_mean: 30.944538589150586  
 population_value: 119.627495415083300, index i: 2, index j: 70, accumulated_mean: 30.943945641420679  
 population_value: 150.499107135104790, index i: 2, index j: 71, accumulated_mean: 30.943938248883132  
 population_value: 127.345398345088670, index i: 2, index j: 72, accumulated_mean: 30.943579598244376  
 population_value: 155.322796466358140, index i: 2, index j: 73, accumulated_mean: 30.943579166821571  
 population_value: 152.428582867606140, index i: 2, index j: 74, accumulated_mean: 30.943577294107268  
 population_value: 156.287534332608830, index i: 2, index j: 75, accumulated_mean: 30.943575520315484  
 population_value: 118.662757548832630, index i: 2, index j: 76, accumulated_mean: 30.942949190338854  
 population_value: 150.499107135104790, index i: 2, index j: 77, accumulated_mean: 30.942941798197662  
 population_value: 119.627495415083300, index i: 2, index j: 78, accumulated_mean: 30.942348901366618  
 population_value: 118.662757548832630, index i: 2, index j: 79, accumulated_mean: 30.941722612688615  
 population_value: 120.592233281333980, index i: 2, index j: 80, accumulated_mean: 30.941162246509272  
 population_value: 150.499107135104790, index i: 2, index j: 81, accumulated_mean: 30.941154855078800  
 population_value: 120.592233281333980, index i: 2, index j: 82, accumulated_mean: 30.940594506004725  
 population_value: 151.463845001355480, index i: 2, index j: 83, accumulated_mean: 30.940590330125083  
 population_value: 119.627495415083300, index i: 2, index j: 84, accumulated_mean: 30.939997508242758  
 population_value: 118.662757548832630, index i: 2, index j: 85, accumulated_mean: 30.939371298731430  
